City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
196,Evensk,RU,2020-02-23 09:52:55,61.95,159.23,-5.98,96,100,4.25,overcast clouds,1.94,0.19
197,Half Moon Bay,US,2020-02-23 09:52:55,37.46,-122.43,52.0,76,90,8.05,overcast clouds,1.94,0.19
198,Potiskum,NG,2020-02-23 09:52:56,11.71,11.07,82.8,14,0,19.19,clear sky,1.94,0.19
199,Corbeanca,RO,2020-02-23 09:52:56,44.6,26.05,48.0,65,100,16.11,overcast clouds,1.94,0.19
200,Chifeng,CN,2020-02-23 09:52:56,42.27,118.96,35.1,58,21,3.85,few clouds,1.94,0.19
201,Aktau,KZ,2020-02-23 09:52:51,43.65,51.2,50.0,71,100,6.71,overcast clouds,1.94,0.19
202,Minbu,MM,2020-02-23 09:52:56,20.18,94.88,94.46,20,68,7.38,broken clouds,1.94,0.19
203,Izacic,BA,2020-02-23 09:52:57,44.88,15.78,53.01,55,100,4.07,overcast clouds,1.94,0.19
204,Kalmunai,LK,2020-02-23 09:52:57,7.42,81.82,81.68,77,100,18.61,overcast clouds,1.94,0.19
205,Beitbridge,ZW,2020-02-23 09:52:57,-22.22,30.0,91.22,44,7,11.72,clear sky,1.94,0.13
206,Mount Isa,AU,2020-02-23 09:52:57,-20.73,139.5,77.0,88,75,16.11,heavy intensity shower rain,1.94,0.13
207,Naze,JP,2020-02-23 09:52:58,28.37,129.48,60.8,67,20,8.05,few clouds,1.94,0.13
208,Senanga,ZM,2020-02-23 09:52:58,-16.12,23.27,83.68,66,100,0.85,light rain,2.44,0.13
209,Villamontes,BO,2020-02-23 09:52:58,-21.25,-63.5,59.41,55,0,4.14,clear sky,2.44,0.13
210,College,US,2020-02-23 09:52:58,64.86,-147.8,-0.4,70,75,9.17,broken clouds,2.44,0.13
211,Torrington,US,2020-02-23 09:52:58,41.8,-73.12,32.0,54,1,3.62,clear sky,2.44,0.13
212,Chuy,UY,2020-02-23 09:52:59,-33.7,-53.46,57.22,91,0,3.13,clear sky,2.44,0.13
213,Marsa Matruh,EG,2020-02-23 09:52:59,31.35,27.25,55.96,73,68,14.38,light rain,1.75,0.13
214,Porto Velho,BR,2020-02-23 09:52:59,-8.76,-63.9,73.4,94,90,3.36,light rain,1.75,0.13
215,Bengkulu,ID,2020-02-23 09:52:59,-3.8,102.27,83.73,75,46,4.54,light rain,0.31,0.13
216,Sentyabrskiy,ID,2020-02-23 09:52:59,-3.8,102.27,83.73,75,46,4.54,light rain,0.31,0.13
217,Ballina,AU,2020-02-23 09:53:00,-28.87,153.57,69.8,94,100,11.41,light rain,2.5,0.13
218,Makakilo City,US,2020-02-23 09:52:57,21.35,-158.09,73.0,88,40,3.36,scattered clouds,2.5,0.13
219,Port Macquarie,AU,2020-02-23 09:53:00,-31.43,152.92,71.6,78,40,3.36,light intensity drizzle,2.5,0.13
220,Ginda,IN,2020-02-23 09:53:00,30.69,78.49,61.5,40,71,6.8,light rain,2.63,0.13
221,Saryg-Sep,RU,2020-02-23 09:53:00,51.5,95.6,22.87,91,100,3.29,overcast clouds,2.63,0.13
222,Maniitsoq,GL,2020-02-23 09:53:01,65.42,-52.9,11.35,58,100,10.33,overcast clouds,2.63,0.13
223,Irbeyskoye,RU,2020-02-23 09:53:01,55.64,95.45,23.29,87,100,3.71,overcast clouds,2.63,0.13
224,Ndjole,GA,2020-02-23 09:53:01,-0.18,10.76,84.25,70,100,3.49,overcast clouds,2.63,0.13
225,Asau,RO,2020-02-23 09:53:02,46.43,26.4,52.0,43,100,8.05,light rain,0.69,1.69
226,Nortelandia,BR,2020-02-23 09:53:02,-14.45,-56.8,66.81,99,100,1.41,light rain,1.38,1.69
227,Chokurdakh,RU,2020-02-23 09:53:02,70.63,147.92,-17.63,98,90,1.92,overcast clouds,1.38,1.69
228,Madhoganj,IN,2020-02-23 09:53:02,27.12,80.15,80.6,41,1,2.42,clear sky,1.38,1.69
